constant_secular_drift_hz_per_s,bigear_null_visits_still_in_band,active_campaigns,active_campaign_count,log10_max_likelihood_suppression_vs_original_only,drift_during_original_72s_hz,fits_original_10khz_channel
0.0004383629197169144,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.03156213021961784,True
0.0004682600487639664,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.03371472351100558,True
0.0005001962150677137,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.03601412748487538,True
0.0005343104845875528,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0384703548903038,True
0.0005707514078281028,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.041094101363623396,True
0.0006096776667020135,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.04389679200254497,True
0.0006512587655099753,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.04689063111671822,True
0.0006956757690467935,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.050088655371369126,True
0.0007431220910475925,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.05350479055542666,True
0.0007938043364074717,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.05715391222133796,True
0.0008479432008420127,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.061051910460624914,True
0.0009057744319062552,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.06521575909725037,True
0.000967549855556846,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.06966358960009292,True
0.0010335384727275683,89,"BIGEAR,VLA1996,HOBART,ATA",4,-10.730393190225893,0.07441477003638491,True
0.0011040276306932663,88,"BIGEAR,VLA1996,HOBART,ATA",4,-10.710178432917353,0.07948998940991517,True
0.0011793242743228483,88,"BIGEAR,VLA1996,HOBART,ATA",4,-10.710178432917353,0.08491134775124508,True
0.0012597562826699993,88,"BIGEAR,VLA1996,HOBART,ATA",4,-10.710178432917353,0.09070245235223995,True
0.0013456738967217111,88,"BIGEAR,HOBART,ATA",3,-8.717932767054435,0.0968885205639632,True
0.0014374512445218409,62,"BIGEAR,HOBART,ATA",3,-8.092208035704857,0.10349648960557255,True
0.0015354879703107583,38,"BIGEAR,ATA",2,-7.3283542367026895,0.11055513386237459,True
0.0016402109747752378,38,"BIGEAR,ATA",2,-7.3283542367026895,0.11809519018381712,True
0.0017520762739864832,38,"BIGEAR,ATA",2,-7.3283542367026895,0.1261494917270268,True
0.0018715709851209906,38,"BIGEAR,ATA",2,-7.3283542367026895,0.1347531109287113,True
0.0019992154476111495,38,"BIGEAR,ATA",2,-7.3283542367026895,0.14394351222800275,True
0.0021355654889620218,38,"BIGEAR,ATA",2,-7.3283542367026895,0.15376071520526557,True
0.0022812148451009065,38,"BIGEAR,ATA",2,-7.3283542367026895,0.16424746884726527,True
0.002436797745798976,38,"BIGEAR,ATA",2,-7.3283542367026895,0.17544943769752627,True
0.0026029916764233247,38,"BIGEAR,ATA",2,-7.3283542367026895,0.1874154007024794,True
0.002780520328045338,38,"BIGEAR,ATA",2,-7.3283542367026895,0.20019746361926435,True
0.0029701567487517384,38,"BIGEAR,ATA",2,-7.3283542367026895,0.21385128591012517,True
0.003172726709880637,38,BIGEAR,1,-6.173766008398129,0.22843632311140588,True
0.0033891123018408007,38,BIGEAR,1,-6.173766008398129,0.24401608573253766,True
0.0036202557751722642,38,BIGEAR,1,-6.173766008398129,0.260658415812403,True
0.0038671636435739904,38,BIGEAR,1,-6.173766008398129,0.2784357823373273,True
0.004130911066765409,38,BIGEAR,1,-6.173766008398129,0.29742559680710945,True
0.004412646532266779,38,BIGEAR,1,-6.173766008398129,0.3177105503232081,True
0.0047135968564853544,38,BIGEAR,1,-6.173766008398129,0.3393789736669455,True
0.005035072526884508,38,BIGEAR,1,-6.173766008398129,0.3625252219356846,True
0.005378473408498181,38,BIGEAR,1,-6.173766008398129,0.38725008541186906,True
0.0057452948396398825,38,BIGEAR,1,-6.173766008398129,0.41366122845407155,True
0.006137134143349693,38,BIGEAR,1,-6.173766008398129,0.4418736583211779,True
0.006555697582933702,38,BIGEAR,1,-6.173766008398129,0.47201022597122655,True
0.007002807791883383,38,BIGEAR,1,-6.173766008398129,0.5042021610156036,True
0.007480411710528786,38,BIGEAR,1,-6.173766008398129,0.5385896431580726,True
0.007990589063985573,30,BIGEAR,1,-5.643011434268943,0.5753224126069613,True
0.008535561418312925,30,BIGEAR,1,-5.643011434268943,0.6145604221185306,True
0.009117701854317739,30,BIGEAR,1,-5.643011434268943,0.6564745335108771,True
0.009739545301129157,30,BIGEAR,1,-5.643011434268943,0.7012472616812992,True
0.01040379957454151,30,BIGEAR,1,-5.643011434268943,0.7490735693669888,True
0.011113357168191555,30,BIGEAR,1,-5.643011434268943,0.800161716109792,True
0.011871307848915116,22,BIGEAR,1,-4.969425166524194,0.8547341651218884,True
0.012680952111129417,20,BIGEAR,1,-4.768377494555925,0.913028552001318,True
0.013545815548827918,20,BIGEAR,1,-4.768377494555925,0.9752987195156101,True
